adm0	country	adm1	ISO
Paraguay	Paraguay	Concepcion	PRY
USA	USA	Connecticut	USA
Romania	Romania	Constanta	ROU
Algeria	Algeria	Constantine	DZA
Honduras	Honduras	Copan	HND
Zambia	Zambia	Copperbelt	ZMB
Chile	Chile	Coquimbo	CHL
Paraguay	Paraguay	Cordillera	PRY
Philippines	Philippines	Cordillera_Administrative_Region	PHL
Argentina	Argentina	Cordoba	ARG
Ireland	Ireland	Cork	IRL
Suriname	Suriname	Coronie	SUR
Belize	Belize	Corozal	BLZ
Argentina	Argentina	Corrientes	ARG
France	France	Corsica	FRA
Honduras	Honduras	Cortes	HND
Ecuador	Ecuador	Cotopaxi	ECU
Trinidad_And_Tobago	Trinidad_And_Tobago	Couva_Tabaquite_Talparo	TTO
Timor_Leste	Timor_Leste	Cova_Lima	TLS
Romania	Romania	Covasna	ROU
Greece	Greece	Crete	GRC
Bahamas	Bahamas	Crooked_Island_And_Long_Cay	BHS
Nigeria	Nigeria	Cross_River	NGA
Hungary	Hungary	Csongrad	HUN
Angola	Angola	Cuando_Cubango	AGO
Angola	Angola	Cuanza_Norte	AGO
Angola	Angola	Cuanza_Sul	AGO
Colombia	Colombia	Cundinamarca	COL
Angola	Angola	Cunene	AGO
Curacao	Curacao	Curacao	CUW
El_Salvador	El_Salvador	Cuscatlan	SLV
Peru	Peru	Cusco	PER
Republic_Of_The_Congo	Republic_Of_The_Congo	Cuvette	COG
Republic_Of_The_Congo	Republic_Of_The_Congo	Cuvette_Ouest	COG
Guyana	Guyana	Cuyuni_Mazaruni	GUY
Turkmenistan	Turkmenistan	Dasoguz_Region	TKM
Vietnam	Vietnam	Da_Nang	VNM
South_Korea	South_Korea	Daegu	KOR
South_Korea	South_Korea	Daejeon	KOR
Bhutan	Bhutan	Dagana_District	BTN
Russia	Russia	Dagestan	RUS
Dominican_Republic	Dominican_Republic	Dajabon	DOM
Vietnam	Vietnam	Dak_Lak	VNM
Vietnam	Vietnam	Dak_Nong	VNM
Egypt	Egypt	Dakahlia	EGY
Senegal	Senegal	Dakar	SEN
Morocco	Morocco	Dakhla_Oued_Ed_Dahab	MAR
Mauritania	Mauritania	Dakhlet_Nouadhibou	MRT
Sweden	Sweden	Dalarna	SWE
India	India	Daman_And_Diu	IND
Syrian_Arab_Republic	Syrian_Arab_Republic	Damascus_Governorate	SYR
Romania	Romania	Dambovita	ROU
Egypt	Egypt	Damietta	EGY
Tanzania,_United_Republic_Of	Tanzania,_United_Republic_Of	Dar_Es_Salaam	TZA
Syrian_Arab_Republic	Syrian_Arab_Republic	Daraa	SYR
Mongolia	Mongolia	Darkhan_Uul	MNG
Afghanistan	Afghanistan	Daykundi	AFG
Eritrea	Eritrea	Debub_Region	ERI
Guam	Guam	Dededo	GUM
Syrian_Arab_Republic	Syrian_Arab_Republic	Deir_Ez_Zor	SYR
USA	USA	Delaware	USA
India	India	Delhi	IND
Nigeria	Nigeria	Delta	NGA
Venezuela	Venezuela	Delta_Amacuro	VEN
Mayotte	Mayotte	Dembeni	MYT
Guyana	Guyana	Demerara_Mahaica	GUY
Cote_D'Ivoire	Cote_D'Ivoire	Denguele	CIV
Nauru	Nauru	Denigomodu	NRU
Saint_Lucia	Saint_Lucia	Dennery	LCA
Haiti	Haiti	Departement_De_L'Ouest	HTI
Haiti	Haiti	Departement_De_La_Grande_Anse	HTI
Haiti	Haiti	Departement_Des_Nippes	HTI
Haiti	Haiti	Departement_Du_Nord	HTI
Haiti	Haiti	Departement_Du_Sud_Est	HTI
Libya	Libya	Derna	LBY
Bermuda	Bermuda	Devonshire	BMU
Maldives	Maldives	Dhaalu	MDV
Bangladesh	Bangladesh	Dhaka	BGD
Yemen	Yemen	Dhamar_Governorate	YEM
Iraq	Iraq	Dhi_Qar	IRQ
Oman	Oman	Dhofar	OMN
Madagascar	Madagascar	Diana	MDG
Albania	Albania	Diber_County	ALB
Trinidad_And_Tobago	Trinidad_And_Tobago	Diego_Martin	TTO
Vietnam	Vietnam	Dien_Bien	VNM
Niger	Niger	Diffa	NER
Djibouti	Djibouti	Dikhil	DJI
Timor_Leste	Timor_Leste	Dili	TLS
Senegal	Senegal	Diourbel	SEN
Ethiopia	Ethiopia	Dire_Dawa	ETH
Cote_D'Ivoire	Cote_D'Ivoire	District_Autonome_D'Abidjan	CIV
Cote_D'Ivoire	Cote_D'Ivoire	District_Autonome_De_Yamousso*	CIV
USA	USA	District_Of_Columbia	USA
Kosovo	Kosovo	District_Of_Ferizaj_(05)	XKX
Kosovo	Kosovo	District_Of_Gjilan_(06)	XKX
Kosovo	Kosovo	District_Of_Mitrovica_(02)	XKX
Kosovo	Kosovo	District_Of_Peja_(03)	XKX
Kosovo	Kosovo	District_Of_Prishtina_(01)	XKX
Kosovo	Kosovo	District_Of_Prizren_(04)	XKX
Tajikistan	Tajikistan	Districts_Of_Republican_Subordination	TJK
Venezuela	Venezuela	Distrito_Capital	VEN
Dominican_Republic	Dominican_Republic	Distrito_Nacional	DOM
Iraq	Iraq	Diyala	IRQ
Algeria	Algeria	Djelfa	DZA
Djibouti	Djibouti	Djibouti	DJI
Crimea	Crimea	Dnipropetrovsk_Oblast	UKR
Bulgaria	Bulgaria	Dobrich	BGR
Tanzania,_United_Republic_Of	Tanzania,_United_Republic_Of	Dodoma	TZA
Qatar	Qatar	Doha	QAT
Iraq	Iraq	Dohuk	IRQ
Romania	Romania	Dolj	ROU
Poland	Poland	Dolnoslaskie	POL
San_Marino	San_Marino	Domagnano	SMR
Ireland	Ireland	Donegal	IRL
Crimea	Crimea	Donetsk_Oblast	UKR
Vietnam	Vietnam	Dong_Nai	VNM
Vietnam	Vietnam	Dong_Thap	VNM
Benin	Benin	Donga	BEN
Mongolia	Mongolia	Dornod	MNG
Mongolia	Mongolia	Dornogovi	MNG
Niger	Niger	Dosso	NER
Morocco	Morocco	Draa_Tafilalet	MAR
Netherlands	Netherlands	Drenthe	NLD
Dominican_Republic	Dominican_Republic	Duarte	DOM
United_Arab_Emirates	United_Arab_Emirates	Dubai	ARE
Ireland	Ireland	Dublin	IRL
Croatia	Croatia	Dubrovnik_Neretva	HRV
Mongolia	Mongolia	Dundgovi	MNG
Mexico	Mexico	Durango	MEX
Uruguay	Uruguay	Durazno	URY
Albania	Albania	Durres_County	ALB
Tajikistan	Tajikistan	Dushanbe	TJK
Mayotte	Mayotte	Dzaoudzi	MYT
Cameroon	Cameroon	East	CMR
Iran	Iran	East_Azerbaijan	IRN
Guyana	Guyana	East_Berbice_Corentyne	GUY
Sudan	Sudan	East_Darfur_State	SDN
Cayman_Islands	Cayman_Islands	East_End	CYM
Bahamas	Bahamas	East_Grand_Bahama	BHS
Indonesia	Indonesia	East_Java	IDN
Indonesia	Indonesia	East_Kalimantan	IDN
Kazakhstan	Kazakhstan	East_Kazakhstan_Region	KAZ
Papua_New_Guinea	Papua_New_Guinea	East_New_Britain	PNG
Indonesia	Indonesia	East_Nusa_Tenggara	IDN
Singapore	Singapore	East_Region	SGP
Papua_New_Guinea	Papua_New_Guinea	East_Sepik	PNG
Saudi_Arabia	Saudi_Arabia	Eastern	SAU
South_Africa	South_Africa	Eastern_Cape	ZAF
South_Sudan	South_Sudan	Eastern_Equatoria	SSD
Papua_New_Guinea	Papua_New_Guinea	Eastern_Highlands	PNG
Rwanda	Rwanda	Eastern_Province	RWA
Marshall_Islands	Marshall_Islands	Ebon	MHL
Nigeria	Nigeria	Ebonyi	NGA
Nigeria	Nigeria	Edo	NGA
Greece	Greece	Egean	GRC
Japan	Japan	Ehime	JPN
Nigeria	Nigeria	Ekiti	NGA
Algeria	Algeria	El_Bayadh	DZA
Tunisia	Tunisia	El_Kef	TUN
Ecuador	Ecuador	El_Oro	ECU
Algeria	Algeria	El_Oued	DZA
Honduras	Honduras	El_Paraiso	HND
Guatemala	Guatemala	El_Progreso	GTM
Dominican_Republic	Dominican_Republic	El_Seibo	DOM
Algeria	Algeria	El_Tarf	DZA
Albania	Albania	Elbasan_County	ALB
Kenya	Kenya	Elegeyo_Marakwet	KEN
Dominican_Republic	Dominican_Republic	Elias_Pina	DOM
Kenya	Kenya	Embu	KEN
Italy	Italy	Emilia_Romagna	ITA
Andorra	Andorra	Encamp	AND
Marshall_Islands	Marshall_Islands	Enewetak	MHL
Papua_New_Guinea	Papua_New_Guinea	Enga	PNG
UK	UK	England	GBR
Chad	Chad	Ennedi_Est	TCD
Chad	Chad	Ennedi_Ouest	TCD
Bosnia_And_Herzegovina	Bosnia_And_Herzegovina	Entity_Federation_Of_Bosnia_And_Herzegovina	BIH
Argentina	Argentina	Entre_Rios	ARG
Nigeria	Nigeria	Enugu	NGA
Greece	Greece	Epirus_Western_Macedonia	GRC
DRC	DRC	Equateur	COD
Iraq	Iraq	Erbil	IRQ
Timor_Leste	Timor_Leste	Ermera	TLS
Namibia	Namibia	Erongo_Region	NAM
Andorra	Andorra	Escaldes_Engordany	AND
Liechtenstein	Liechtenstein	Eschen	LIE
Guatemala	Guatemala	Escuintla	GTM
Ecuador	Ecuador	Esmeraldas	ECU
Dominican_Republic	Dominican_Republic	Espaillat	DOM
Brazil	Brazil	Espirito_Santo	BRA
Guyana	Guyana	Essequibo_Islands_West_Demerara	GUY
Burkina_Faso	Burkina_Faso	Est	BFA
Nicaragua	Nicaragua	Esteli	NIC
Gabon	Gabon	Estuaire	GAB
Portugal	Portugal	Evora	PRT
Nauru	Nauru	Ewa	NRU
Australia	Australia	External_Territories	AUS
Spain	Spain	Extremadura	ESP
Bahamas	Bahamas	Exuma	BHS
Faroe_Islands	Faroe_Islands	Eysturoyar	FRO
Samoa	Samoa	Fa'Asaleleage	WSM
Maldives	Maldives	Faafu	MDV
San_Marino	San_Marino	Faetano	SMR
Egypt	Egypt	Faiyum	EGY
Venezuela	Venezuela	Falcon	VEN
Cyprus	Cyprus	Famagusta	CYP
Cameroon	Cameroon	Far_North	CMR
Afghanistan	Afghanistan	Farah	AFG
Guinea	Guinea	Faranah	GIN
Portugal	Portugal	Faro	PRT
Iran	Iran	Fars	IRN
Kuwait	Kuwait	Farwaniya	KWT
Afghanistan	Afghanistan	Faryab	AFG
Senegal	Senegal	Fatick	SEN
Nigeria	Nigeria	Federal_Capital_Territory	NGA
Venezuela	Venezuela	Federal_Dependencies	VEN
Brazil	Brazil	Federal_District	BRA
Pakistan	Pakistan	Federally_Administered_Tribal_Areas	PAK
Hungary	Hungary	Fejer	HUN
Uzbekistan	Uzbekistan	Fergana_Region	UZB
Morocco	Morocco	Fez_Meknes	MAR
Albania	Albania	Fier_County	ALB
Finland	Finland	Finland_Proper	FIN
San_Marino	San_Marino	Fiorentino	SMR
Mauritius	Mauritius	Flacq	MUS
Belgium	Belgium	Flanders	BEL
Netherlands	Netherlands	Flevoland	NLD
Uruguay	Uruguay	Flores	URY
USA	USA	Florida	USA
Argentina	Argentina	Formosa	ARG
Martinique	Martinique	Fort_De_France	MTQ
Honduras	Honduras	Francisco_Morazan	HND
South_Africa	South_Africa	Free_State	ZAF
Switzerland	Switzerland	Fribourg	CHE
Netherlands	Netherlands	Friesland	NLD
Italy	Italy	Friuli_Venezia_Giulia	ITA
United_Arab_Emirates	United_Arab_Emirates	Fujairah	ARE
China	China	Fujian	CHN
Japan	Japan	Fukui	JPN
Japan	Japan	Fukuoka	JPN
Japan	Japan	Fukushima	JPN
Tunisia	Tunisia	Gabes	TUN
Bulgaria	Bulgaria	Gabrovo	BGR
Guinea_Bissau	Guinea_Bissau	Gabu	GNB
Tunisia	Tunisia	Gafsa	TUN
Samoa	Samoa	Gaga'Emauga	WSM
Samoa	Samoa	Gaga'Ifomauga	WSM
Moldova	Moldova	Gagauzia	MDA
Ecuador	Ecuador	Galapagos	ECU
Romania	Romania	Galati	ROU
Somalia	Somalia	Galgaduud	SOM
Spain	Spain	Galicia	ESP
Ireland	Ireland	Galway	IRL
Ethiopia	Ethiopia	Gambela	ETH
Liechtenstein	Liechtenstein	Gamprin	LIE
South_Korea	South_Korea	Gangwon_Do	KOR
China	China	Gansu	CHN
Mali	Mali	Gao	MLI
Kenya	Kenya	Garissa	KEN
Bhutan	Bhutan	Gasa_District	BTN
Eritrea	Eritrea	Gash_Barka_Region	ERI
South_Africa	South_Africa	Gauteng	ZAF
Sweden	Sweden	Gavleborg	SWE
Mozambique	Mozambique	Gaza	MOZ
Liberia	Liberia	Gbarpolu	LBR
Sudan	Sudan	Gedarif_State	SDN
Somalia	Somalia	Gedo	SOM
Armenia	Armenia	Gegharkunik	ARM
Tanzania,_United_Republic_Of	Tanzania,_United_Republic_Of	Geita	TZA
Netherlands	Netherlands	Gelderland	NLD
Switzerland	Switzerland	Geneva	CHE
Cayman_Islands	Cayman_Islands	George_Town	CYM
USA	USA	Georgia	USA
Sudan	Sudan	Gezira_State	SDN
Botswana	Botswana	Ghanzi_District	BWA
Egypt	Egypt	Gharbiyya	EGY
Algeria	Algeria	Ghardaia	DZA
Libya	Libya	Ghat	LBY
Afghanistan	Afghanistan	Ghazni	AFG
Afghanistan	Afghanistan	Ghor	AFG
Vietnam	Vietnam	Gia_Lai	VNM
Japan	Japan	Gifu	JPN
Iran	Iran	Gilan	IRN
Kiribati	Kiribati	Gilbert_Islands	KIR
Pakistan	Pakistan	Gilgit_Baltistan	PAK
New_Zealand	New_Zealand	Gisborne	NZL
Burundi	Burundi	Gitega	BDI
Romania	Romania	Giurgiu	ROU
Egypt	Egypt	Giza	EGY
Albania	Albania	Gjirokaster_County	ALB
Seychelles	Seychelles	Glacis	SYC
Switzerland	Switzerland	Glarus	CHE
India	India	Goa	IND
Cote_D'Ivoire	Cote_D'Ivoire	Goh_Djiboua	CIV
Brazil	Brazil	Goias	BRA
Iran	Iran	Golestan	IRN
Nigeria	Nigeria	Gombe	NGA
Slovenia	Slovenia	Gorenjska	SVN
Mauritania	Mauritania	Gorgol	MRT
Slovenia	Slovenia	Gorivka	SVN
Romania	Romania	Gorj	ROU
Tajikistan	Tajikistan	Gorno_Badakhshan_Autonomous_Region	TJK
Indonesia	Indonesia	Gorontalo	IDN
Sweden	Sweden	Gotland	SWE
Mongolia	Mongolia	Govi_Altai	MNG
Mongolia	Mongolia	Govisumber	MNG
Honduras	Honduras	Gracias_A_Dios	HND
Nicaragua	Nicaragua	Granada	NIC
Seychelles	Seychelles	Grand'Anse	SYC
Seychelles	Seychelles	Grand_Anse	SYC
Liberia	Liberia	Grand_Bassa	LBR
Liberia	Liberia	Grand_Cape_Mount	LBR
Bahamas	Bahamas	Grand_Cay	BHS
France	France	Grand_Est	FRA
Liberia	Liberia	Grand_Gedeh	LBR
Liberia	Liberia	Grand_Kru	LBR
Mauritius	Mauritius	Grand_Port	MUS
Comoros	Comoros	Grande_Comore	COM
Cuba	Cuba	Granma	CUB
Ghana	Ghana	Greater_Accra	GHA
Bahamas	Bahamas	Green_Turtle_Cay	BHS
Greenland	Greenland	Greenland	GRL
Saint_Vincent_And_Grenadines	Saint_Vincent_And_Grenadines	Grenadines	VCT
Switzerland	Switzerland	Grisons	CHE
Netherlands	Netherlands	Groningen	NLD
Saint_Lucia	Saint_Lucia	Gros_Islet	LCA
Solomon_Islands	Solomon_Islands	Guadalcanal_Province	SLB
Colombia	Colombia	Guainia	COL
Paraguay	Paraguay	Guaira	PRY
USA	USA	Guam	USA
Mexico	Mexico	Guanajuato	MEX
China	China	Guangdong	CHN
China	China	Guangxi	CHN
Cuba	Cuba	Guantanamo	CUB
Portugal	Portugal	Guarda	PRT
Venezuela	Venezuela	Guarico	VEN
Guatemala	Guatemala	Guatemala	GTM
Colombia	Colombia	Guaviare	COL
Ecuador	Ecuador	Guayas	ECU
Algeria	Algeria	Guelma	DZA
Morocco	Morocco	Guelmim_Oued_Noun	MAR
Chad	Chad	Guera	TCD
Mexico	Mexico	Guerrero	MEX
Mauritania	Mauritania	Guidimakha	MRT
China	China	Guizhou	CHN
India	India	Gujarat	IND
Papua_New_Guinea	Papua_New_Guinea	Gulf	PNG
Japan	Japan	Gunma	JPN
Georgia	Georgia	Guria	GEO
South_Korea	South_Korea	Gwangju	KOR
Hungary	Hungary	Gyor_Moson_Sopro	HUN
South_Korea	South_Korea	Gyeonggi_Do	KOR
South_Korea	South_Korea	Gyeongsangbuk_Do	KOR
South_Korea	South_Korea	Gyeongsangnam_Do	KOR
Tonga	Tonga	Ha'Apai	TON
Vietnam	Vietnam	Ha_Giang	VNM
Vietnam	Vietnam	Ha_Nam	VNM
Vietnam	Vietnam	Ha_Noi	VNM
Vietnam	Vietnam	Ha_Tinh	VNM
Maldives	Maldives	Haa_Alif	MDV
Maldives	Maldives	Haa_Dhaalu	MDV
Bhutan	Bhutan	Haa_District	BTN
Yemen	Yemen	Hadhramaut	YEM
Chad	Chad	Hadjer_Lamis	TCD
Guam	Guam	Hagatna	GUM
Vietnam	Vietnam	Hai_Duong	VNM
Vietnam	Vietnam	Hai_Phong	VNM
Israel	Israel	Haifa	ISR
China	China	Hainan	CHN
Hungary	Hungary	Hajdu_Bihar	HUN
Yemen	Yemen	Hajjah_Governorate	YEM
Iraq	Iraq	Halabja	IRQ
Sweden	Sweden	Halland	SWE
Syrian_Arab_Republic	Syrian_Arab_Republic	Hama	SYR
Iran	Iran	Hamadan	IRN
Germany	Germany	Hamburg	DEU
North_Korea	North_Korea	Hamgyongnam_Do	PRK
Bermuda	Bermuda	Hamilton	BMU
Bermuda	Bermuda	Hamilton_Municipality	BMU
Jamaica	Jamaica	Hanover	JAM
Zimbabwe	Zimbabwe	Harare	ZWE
Namibia	Namibia	Hardap_Region	NAM
Ethiopia	Ethiopia	Hareri	ETH
Romania	Romania	Harghita	ROU
Estonia	Estonia	Harju_Maakond	EST
India	India	Haryana	IND
Bulgaria	Bulgaria	Haskovo	BGR
Dominican_Republic	Dominican_Republic	Hato_Mayor	DOM
Vietnam	Vietnam	Hau_Giang	VNM
DRC	DRC	Haut_Katanga	COD
DRC	DRC	Haut_Lomami	COD
Central_African_Republic	Central_African_Republic	Haut_Mbomou	CAF
Gabon	Gabon	Haut_Ogooue	GAB
Central_African_Republic	Central_African_Republic	Haute_Kotto	CAF
Burkina_Faso	Burkina_Faso	Hauts_Bassins	BFA
France	France	Hauts_De_France	FRA
Cuba	Cuba	Havana	CUB
USA	USA	Hawaii	USA
Kuwait	Kuwait	Hawalli	KWT
New_Zealand	New_Zealand	Hawke'S_Bay	NZL
Saudi_Arabia	Saudi_Arabia	Hayel	SAU
China	China	Hebei	CHN
China	China	Heilongjiang	CHN
Papua_New_Guinea	Papua_New_Guinea	Hela	PNG
China	China	Henan	CHN
Dominican_Republic	Dominican_Republic	Hermanas_Mirabal	DOM
Germany	Germany	Hesse	DEU
Hungary	Hungary	Heves	HUN
Eswatini	Eswatini	Hhohho	SWZ
Mexico	Mexico	Hidalgo	MEX
Somalia	Somalia	Hiiraan	SOM
Estonia	Estonia	Hiiu_Maakond	EST
Afghanistan	Afghanistan	Hilmand	AFG
India	India	Himachal_Pradesh	IND
Afghanistan	Afghanistan	Hirat	AFG
Japan	Japan	Hiroshima	JPN
Vietnam	Vietnam	Hoa_Binh	VNM
Mauritania	Mauritania	Hodh_Ech_Chargi	MRT
Mauritania	Mauritania	Hodh_El_Gharbi	MRT
Japan	Japan	Hokkaido	JPN
Cuba	Cuba	Holguin	CUB
Kenya	Kenya	Homa_Bay	KEN
Belarus	Belarus	Homel_Region	BLR
Syrian_Arab_Republic	Syrian_Arab_Republic	Homs	SYR
Hong_Kong	Hong_Kong	Hong_Kong	HKG
Bahamas	Bahamas	Hope_Town	BHS
Iran	Iran	Hormozgan	IRN
Lao	Lao	Houaphan	LAO
Denmark	Denmark	Hovedstaden	DNK
Mongolia	Mongolia	Hovsgel	MNG
Belarus	Belarus	Hrodna_Region	BLR
Taiwan	Taiwan	Hsinchu	TWN
Taiwan	Taiwan	Hsinchu_County	TWN
Taiwan	Taiwan	Hualien_County	TWN
Angola	Angola	Huambo	AGO
Peru	Peru	Huancavelica	PER
Peru	Peru	Huanuco	PER
China	China	Hubei	CHN
Guatemala	Guatemala	Huehuetenango	GTM
Colombia	Colombia	Huila	COL
China	China	Hunan	CHN
Romania	Romania	Hunedoara	ROU
Vietnam	Vietnam	Hung_Yen	VNM
North_Korea	North_Korea	Hwanghaebuk_Do	PRK
North_Korea	North_Korea	Hwanghaenam_Do	PRK
Japan	Japan	Hyogo	JPN
Romania	Romania	Ialomita	ROU
Romania	Romania	Iasi	ROU
Japan	Japan	Ibaraki	JPN
Yemen	Yemen	Ibb_Governorate	YEM
Peru	Peru	Ica	PER
Estonia	Estonia	Ida_Viru_Maakond	EST
USA	USA	Idaho	USA
Syrian_Arab_Republic	Syrian_Arab_Republic	Idlib	SYR
Madagascar	Madagascar	Ihorombe	MDG
Iran	Iran	Ilam	IRN
France	France	Ile_De_France	FRA
French_Polynesia	French_Polynesia	Iles_Australes	PYF
French_Polynesia	French_Polynesia	Iles_Du_Vent	PYF
French_Polynesia	French_Polynesia	Iles_Marquises	PYF
French_Polynesia	French_Polynesia	Iles_Sous_Le_Vent	PYF
French_Polynesia	French_Polynesia	Iles_Tuamotu_Gambier	PYF
Romania	Romania	Ilfov	ROU
USA	USA	Illinois	USA
Algeria	Algeria	Illizi	DZA
Ecuador	Ecuador	Imbabura	ECU
Georgia	Georgia	Imereti	GEO
Nigeria	Nigeria	Imo	NGA
Bahamas	Bahamas	Inagua	BHS
Guam	Guam	Inarajan	GUM
South_Korea	South_Korea	Incheon	KOR
Mauritania	Mauritania	Inchiri	MRT
Dominican_Republic	Dominican_Republic	Independencia	DOM
USA	USA	Indiana	USA
Russia	Russia	Ingushetia	RUS
Mozambique	Mozambique	Inhambane	MOZ
Georgia	Georgia	Inner_Kartli	GEO
China	China	Inner_Mongolia	CHN
Norway	Norway	Innlandet	NOR
Honduras	Honduras	Intibuca	HND
USA	USA	Iowa	USA
Jordan	Jordan	Irbid	JOR
Tanzania,_United_Republic_Of	Tanzania,_United_Republic_Of	Iringa	TZA
Russia	Russia	Irkutsk	RUS
Solomon_Islands	Solomon_Islands	Isabel_Province	SLB
Iran	Iran	Isfahan	IRN
Japan	Japan	Ishikawa	JPN
Kenya	Kenya	Isiolo	KEN
Pakistan	Pakistan	Islamabad_Capital_Territory	PAK
Cuba	Cuba	Isle_Of_Youth	CUB
Egypt	Egypt	Ismailia	EGY
Kyrgyzstan	Kyrgyzstan	Issyk_Kul_Region	KGZ
Croatia	Croatia	Istria	HRV
Paraguay	Paraguay	Itapua	PRY
Madagascar	Madagascar	Itasy	MDG
DRC	DRC	Ituri	COD
Crimea	Crimea	Ivano_Frankivsk_Oblast	UKR
Russia	Russia	Ivanovo	RUS
Japan	Japan	Iwate	JPN
Guatemala	Guatemala	Izabal	GTM
Libya	Libya	Jabal_Al_Akhdar	LBY
Libya	Libya	Jabal_Al_Gharbi	LBY
Marshall_Islands	Marshall_Islands	Jabat	MHL
Serbia	Serbia	Jablanica_District	SRB
Libya	Libya	Jafara	LBY
Kuwait	Kuwait	Jahra	KWT
Indonesia	Indonesia	Jakarta	IDN
Kyrgyzstan	Kyrgyzstan	Jalal_Abad_Region	KGZ
Guatemala	Guatemala	Jalapa	GTM
Mexico	Mexico	Jalisco	MEX
Marshall_Islands	Marshall_Islands	Jaluit	MHL
Indonesia	Indonesia	Jambi	IDN
Kazakhstan	Kazakhstan	Jambyl_Region	KAZ
India	India	Jammu_And_Kashmir	IND
Sweden	Sweden	Jamtland	SWE
Gambia	Gambia	Janjanbureh	GMB
Jordan	Jordan	Jarash	JOR
Estonia	Estonia	Jarva_Maakond	EST
Hungary	Hungary	Jasz_Nagykun_Szolnok	HUN
Afghanistan	Afghanistan	Jawzjan	AFG
Saudi_Arabia	Saudi_Arabia	Jazan	SAU
South_Korea	South_Korea	Jeju_Do	KOR
Tunisia	Tunisia	Jendouba	TUN
South_Korea	South_Korea	Jeollabuk_Do	KOR
South_Korea	South_Korea	Jeollanam_Do	KOR
Israel	Israel	Jerusalem	ISR
Russia	Russia	Jewish_Autonomous	RUS
India	India	Jharkhand	IND
China	China	Jiangsu	CHN
China	China	Jiangxi	CHN
Nigeria	Nigeria	Jigawa	NGA
Czech_Republic	Czech_Republic	Jihocesky_Region	CZE
Czech_Republic	Czech_Republic	Jihomoravsky_Region	CZE
Algeria	Algeria	Jijel	DZA
China	China	Jilin	CHN
Nicaragua	Nicaragua	Jinotega_(Departamento)	NIC
Papua_New_Guinea	Papua_New_Guinea	Jiwaka	PNG
Uzbekistan	Uzbekistan	Jizzakh_Region	UZB
Estonia	Estonia	Jogeva_Maakond	EST
Malaysia	Malaysia	Johor	MYS
South_Sudan	South_Sudan	Jonglei	SSD
Sweden	Sweden	Jonkoping	SWE
British_Virgin_Islands	British_Virgin_Islands	Jost_Van_Dyke	VGB
Libya	Libya	Jufra	LBY
Slovenia	Slovenia	Jugovzhodna	SVN
Argentina	Argentina	Jujuy	ARG
Peru	Peru	Junin	PER
Switzerland	Switzerland	Jura	CHE
Guatemala	Guatemala	Jutiapa	GTM
Russia	Russia	Kabardino_Balkaria	RUS
Afghanistan	Afghanistan	Kabul	AFG
Myanmar	Myanmar	Kachin	MMR
Nigeria	Nigeria	Kaduna	NGA
Senegal	Senegal	Kaffrine	SEN
Egypt	Egypt	Kafr_El_Sheikh	EGY
Japan	Japan	Kagawa	JPN
Tanzania,_United_Republic_Of	Tanzania,_United_Republic_Of	Kagera	TZA
Japan	Japan	Kagoshima	JPN
Finland	Finland	Kainuu	FIN
Tunisia	Tunisia	Kairouan	TUN
Kenya	Kenya	Kajiado	KEN
Kenya	Kenya	Kakamega	KEN
Georgia	Georgia	Kakheti	GEO
Thailand	Thailand	Kalasin	THA
Russia	Russia	Kaliningrad	RUS
Sweden	Sweden	Kalmar	SWE
Russia	Russia	Kalmykia	RUS
Russia	Russia	Kaluga	RUS
Russia	Russia	Kamchatka_Krai	RUS
Thailand	Thailand	Kamphaeng_Phet_Province	THA
Cambodia	Cambodia	Kampong_Cham	KHM
Cambodia	Cambodia	Kampong_Chhnang	KHM
Cambodia	Cambodia	Kampong_Speu	KHM
Cambodia	Cambodia	Kampong_Thom	KHM
Cambodia	Cambodia	Kampot	KHM
Japan	Japan	Kanagawa	JPN
Thailand	Thailand	Kanchanaburi_Province	THA
Afghanistan	Afghanistan	Kandahar	AFG
Cambodia	Cambodia	Kandal	KHM
Chad	Chad	Kanem	TCD
North_Korea	North_Korea	Kangwon_Do	PRK
Mayotte	Mayotte	Kani_Keli	MYT
Gambia	Gambia	Kanifing	GMB
Guinea	Guinea	Kankan	GIN
Nigeria	Nigeria	Kano	NGA
USA	USA	Kansas	USA
Taiwan	Taiwan	Kaohsiung	TWN
Senegal	Senegal	Kaolack	SEN
Afghanistan	Afghanistan	Kapisa	AFG
Togo	Togo	Kara_Region	TGO
Russia	Russia	Karachay_Cherkessia	RUS
Kazakhstan	Kazakhstan	Karaganda_Region	KAZ
Jordan	Jordan	Karak	JOR
Namibia	Namibia	Karas_Region	NAM
Iraq	Iraq	Karbala	IRQ
Bulgaria	Bulgaria	Kardzhali	BGR
Croatia	Croatia	Karlovac	HRV
Czech_Republic	Czech_Republic	Karlovarsky_Region	CZE
India	India	Karnataka	IND
Burundi	Burundi	Karuzi	BDI
DRC	DRC	Kasai	COD
DRC	DRC	Kasai_Oriental	COD
Sudan	Sudan	Kassala_State	SDN
Tunisia	Tunisia	Kasserine	TUN
Tanzania,_United_Republic_Of	Tanzania,_United_Republic_Of	Katavi	TZA
Nigeria	Nigeria	Katsina	NGA
Lithuania	Lithuania	Kaunas	LTU
Namibia	Namibia	Kavango_East_Region	NAM
Namibia	Namibia	Kavango_West_Region	NAM
Myanmar	Myanmar	Kayah	MMR
Palau	Palau	Kayangel	PLW
